car_name,year,selling_price,present_price,kms_driven,fuel_type,seller_type,transmission,owner
ritz,2014.0,3.35,5.59,27000.0,petrol,dealer,manual,0.0
sx4,2013.0,4.75,9.54,43000.0,diesel,dealer,manual,0.0
ciaz,2017.0,7.25,9.85,6900.0,petrol,dealer,manual,0.0
wagon r,2011.0,2.85,4.15,5200.0,petrol,dealer,manual,0.0
swift,2014.0,4.6,6.87,42450.0,diesel,dealer,manual,0.0
vitara brezza,2018.0,9.25,9.83,2071.0,diesel,dealer,manual,0.0
ciaz,2015.0,6.75,8.12,18796.0,petrol,dealer,manual,0.0
s cross,2015.0,6.5,8.61,33429.0,diesel,dealer,manual,0.0
ciaz,2016.0,8.75,8.89,20273.0,diesel,dealer,manual,0.0
ciaz,2015.0,7.45,8.92,42367.0,diesel,dealer,manual,0.0
alto 800,2017.0,2.85,3.6,2135.0,petrol,dealer,manual,0.0
ciaz,2015.0,6.85,10.38,51000.0,diesel,dealer,manual,0.0
ciaz,2015.0,7.5,9.94,15000.0,petrol,dealer,automatic,0.0
ertiga,2015.0,6.1,7.71,26000.0,petrol,dealer,manual,0.0
dzire,2009.0,2.25,7.21,77427.0,petrol,dealer,manual,0.0
ertiga,2016.0,7.75,10.79,43000.0,diesel,dealer,manual,0.0
ertiga,2015.0,7.25,10.79,41678.0,diesel,dealer,manual,0.0
wagon r,2015.0,3.25,5.09,35500.0,cng,dealer,manual,0.0
sx4,2010.0,2.65,7.98,41442.0,petrol,dealer,manual,0.0
alto k10,2016.0,2.85,3.95,25000.0,petrol,dealer,manual,0.0
ignis,2017.0,4.9,5.71,2400.0,petrol,dealer,manual,0.0
sx4,2011.0,4.4,8.01,50000.0,petrol,dealer,automatic,0.0
alto k10,2014.0,2.5,3.46,45280.0,petrol,dealer,manual,0.0
wagon r,2013.0,2.9,4.41,56879.0,petrol,dealer,manual,0.0
swift,2011.0,3.0,4.99,20000.0,petrol,dealer,manual,0.0
swift,2013.0,4.15,5.87,55138.0,petrol,dealer,manual,0.0
swift,2017.0,6.0,6.49,16200.0,petrol,individual,manual,0.0
alto k10,2010.0,1.95,3.95,44542.0,petrol,dealer,manual,0.0
ciaz,2015.0,7.45,10.38,45000.0,diesel,dealer,manual,0.0
ritz,2012.0,3.1,5.98,51439.0,diesel,dealer,manual,0.0
ritz,2011.0,2.35,4.89,54200.0,petrol,dealer,manual,0.0
swift,2014.0,4.95,7.49,39000.0,diesel,dealer,manual,0.0
ertiga,2014.0,6.0,9.95,45000.0,diesel,dealer,manual,0.0
dzire,2014.0,5.5,8.06,45000.0,diesel,dealer,manual,0.0
sx4,2011.0,2.95,7.74,49998.0,cng,dealer,manual,0.0
dzire,2015.0,4.65,7.2,48767.0,petrol,dealer,manual,0.0
800,2006.0,0.35,2.28,99708.75,petrol,individual,manual,0.0
alto k10,2016.0,3.0,3.76,10079.0,petrol,dealer,manual,0.0
sx4,2006.0,2.25,7.98,62000.0,petrol,dealer,manual,0.0
baleno,2016.0,5.85,7.87,24524.0,petrol,dealer,automatic,0.0
alto k10,2014.0,2.55,3.98,46706.0,petrol,dealer,manual,0.0
sx4,2008.0,1.95,7.15,58000.0,petrol,dealer,manual,0.0
dzire,2014.0,5.5,8.06,45780.0,diesel,dealer,manual,0.0
omni,2012.0,1.25,2.69,50000.0,petrol,dealer,manual,0.0
ciaz,2014.0,7.5,12.04,15000.0,petrol,dealer,automatic,0.0
ritz,2013.0,2.65,4.89,64532.0,petrol,dealer,manual,0.0
wagon r,2006.0,1.05,4.15,65000.0,petrol,dealer,manual,0.0
ertiga,2015.0,5.8,7.71,25870.0,petrol,dealer,manual,0.0
ciaz,2017.0,7.75,9.29,37000.0,petrol,dealer,automatic,0.0
fortuner,2012.0,13.725000000000001,22.8,99708.75,diesel,dealer,automatic,0.0
fortuner,2015.0,13.725000000000001,22.8,40000.0,diesel,dealer,automatic,0.0
innova,2017.0,13.725000000000001,19.77,15000.0,diesel,dealer,automatic,0.0
fortuner,2013.0,13.725000000000001,22.8,99708.75,diesel,individual,automatic,0.0
innova,2006.0,2.75,10.21,90000.0,petrol,individual,manual,0.0
corolla altis,2009.0,3.6,15.04,70000.0,petrol,dealer,automatic,0.0
etios cross,2015.0,4.5,7.27,40534.0,petrol,dealer,manual,0.0
corolla altis,2010.0,4.75,18.54,50000.0,petrol,dealer,manual,0.0
etios g,2014.0,4.1,6.8,39485.0,petrol,dealer,manual,0.0
fortuner,2014.0,13.725000000000001,22.8,41000.0,diesel,dealer,automatic,0.0
corolla altis,2013.0,6.95,18.61,40001.0,petrol,dealer,manual,0.0
etios cross,2015.0,4.5,7.7,40588.0,petrol,dealer,manual,0.0
fortuner,2014.0,13.725000000000001,22.8,78000.0,diesel,dealer,automatic,0.0
fortuner,2015.0,13.725000000000001,22.8,47000.0,diesel,dealer,automatic,0.0
fortuner,2017.0,13.725000000000001,22.8,6000.0,diesel,dealer,automatic,0.0
etios liva,2014.0,4.75,6.95,45000.0,diesel,dealer,manual,0.0
innova,2017.0,13.725000000000001,22.8,11000.0,petrol,dealer,automatic,0.0
fortuner,2010.0,9.25,20.45,59000.0,diesel,dealer,manual,0.0
corolla altis,2011.0,4.35,13.74,88000.0,petrol,dealer,manual,0.0
corolla altis,2016.0,13.725000000000001,20.91,12000.0,petrol,dealer,manual,0.0
etios liva,2014.0,3.95,6.76,71000.0,diesel,dealer,manual,0.0
corolla altis,2011.0,4.5,12.48,45000.0,diesel,dealer,manual,0.0
corolla altis,2013.0,7.45,18.61,56001.0,petrol,dealer,manual,0.0
etios liva,2011.0,2.65,5.71,43000.0,petrol,dealer,manual,0.0
etios cross,2014.0,4.9,8.93,83000.0,diesel,dealer,manual,0.0
etios g,2015.0,3.95,6.8,36000.0,petrol,dealer,manual,0.0
corolla altis,2013.0,5.5,14.68,72000.0,petrol,dealer,manual,0.0
corolla,2006.0,1.5,12.35,99708.75,petrol,dealer,automatic,0.0
corolla altis,2010.0,5.25,22.8,80000.0,petrol,dealer,automatic,0.0
fortuner,2012.0,13.725000000000001,22.8,89000.0,diesel,dealer,automatic,0.0
corolla altis,2016.0,13.725000000000001,14.89,23000.0,diesel,dealer,manual,0.0
etios gd,2015.0,4.75,7.85,40000.0,diesel,dealer,manual,0.0
innova,2017.0,13.725000000000001,22.8,15000.0,diesel,dealer,automatic,0.0
innova,2015.0,12.5,13.46,38000.0,diesel,dealer,manual,0.0
innova,2006.0,3.49,13.46,99708.75,diesel,dealer,manual,0.0
camry,2006.0,2.5,22.8,99708.75,petrol,individual,automatic,0.0
land cruiser,2010.0,13.725000000000001,22.8,78000.0,diesel,dealer,manual,0.0
corolla altis,2012.0,5.9,13.74,56000.0,petrol,dealer,manual,0.0
etios liva,2013.0,3.45,6.05,47000.0,petrol,dealer,manual,0.0
etios g,2014.0,4.75,6.76,40000.0,petrol,dealer,manual,0.0
corolla altis,2009.0,3.8,18.61,62000.0,petrol,dealer,manual,0.0
innova,2014.0,11.25,16.09,58242.0,diesel,dealer,manual,0.0
innova,2006.0,3.51,13.7,75000.0,petrol,dealer,manual,0.0
corolla altis,2008.0,4.0,22.78,89000.0,petrol,dealer,automatic,0.0
corolla altis,2012.0,5.85,18.61,72000.0,petrol,dealer,manual,0.0
innova,2016.0,13.725000000000001,22.8,29000.0,diesel,dealer,automatic,0.0
corolla altis,2017.0,13.725000000000001,18.64,8700.0,petrol,dealer,manual,0.0
corolla altis,2013.0,7.05,18.61,45000.0,petrol,dealer,manual,0.0
fortuner,2010.0,9.65,20.45,50024.0,diesel,dealer,manual,0.0
royal enfield thunder 500,2016.0,1.75,1.9,3000.0,petrol,individual,manual,0.0
um renegade mojave,2017.0,1.7,1.82,1400.0,petrol,individual,manual,0.0
ktm rc200,2017.0,1.65,1.78,4000.0,petrol,individual,manual,0.0
bajaj dominar 400,2017.0,1.45,1.6,1200.0,petrol,individual,manual,0.0
royal enfield classic 350,2017.0,1.35,1.47,4100.0,petrol,individual,manual,0.0
