name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
maruti 800 ac,2007.0,60000.0,70000.0,petrol,individual,manual,first owner
maruti wagon r lxi minor,2007.0,135000.0,50000.0,petrol,individual,manual,first owner
hyundai verna 1.6 sx,2012.0,600000.0,100000.0,diesel,individual,manual,first owner
datsun redigo t option,2017.0,250000.0,46000.0,petrol,individual,manual,first owner
honda amaze vx i-dtec,2014.0,450000.0,141000.0,diesel,individual,manual,second owner
maruti alto lx bsiii,2007.0,140000.0,125000.0,petrol,individual,manual,first owner
hyundai xcent 1.2 kappa s,2016.0,550000.0,25000.0,petrol,individual,manual,first owner
tata indigo grand petrol,2014.0,240000.0,60000.0,petrol,individual,manual,second owner
hyundai creta 1.6 vtvt s,2015.0,850000.0,25000.0,petrol,individual,manual,first owner
maruti celerio green vxi,2017.0,365000.0,78000.0,cng,individual,manual,first owner
chevrolet sail 1.2 base,2015.0,260000.0,35000.0,petrol,individual,manual,first owner
tata indigo grand petrol,2014.0,250000.0,100000.0,petrol,individual,manual,first owner
toyota corolla altis 1.8 vl cvt,2018.0,1200000.0,25000.0,petrol,dealer,automatic,first owner
maruti ciaz vxi plus,2015.0,585000.0,24000.0,petrol,dealer,manual,first owner
hyundai venue sx opt diesel,2019.0,1195000.0,5000.0,diesel,dealer,manual,first owner
chevrolet enjoy tcdi ltz 7 seater,2013.0,390000.0,33000.0,diesel,individual,manual,second owner
jaguar xf 2.2 litre luxury,2014.0,1200000.0,28000.0,diesel,dealer,automatic,first owner
mercedes-benz new c-class 220 cdi at,2013.0,1200000.0,59000.0,diesel,dealer,automatic,first owner
maruti vitara brezza zdi plus amt,2018.0,975000.0,4500.0,diesel,dealer,automatic,first owner
audi q5 2.0 tdi,2011.0,1190000.0,171000.0,diesel,dealer,automatic,first owner
honda city v mt,2018.0,930000.0,14500.0,petrol,dealer,manual,first owner
tata tigor 1.2 revotron xt,2018.0,525000.0,15000.0,petrol,individual,manual,first owner
audi a6 2.0 tdi  design edition,2013.0,1200000.0,50000.0,diesel,dealer,automatic,first owner
mercedes-benz new c-class c 220 cdi avantgarde,2012.0,1200000.0,33800.0,diesel,dealer,automatic,second owner
skoda superb ambition 2.0 tdi cr at,2011.0,450000.0,130400.0,diesel,dealer,automatic,second owner
toyota corolla altis g at,2016.0,900000.0,50000.0,petrol,individual,automatic,first owner
